EntityMember,ICPartner,RelationshipType,TransferPricingMethod
Plant_US01_Detroit,Plant_DE01_Munich,ManufacturingToManufacturing,CostPlus
Plant_US01_Detroit,Plant_CN01_Shanghai,ManufacturingToManufacturing,CostPlus
Plant_US01_Detroit,Plant_CA01_Toronto,ManufacturingToManufacturing,ComparableUncontrolledPrice
Plant_US01_Detroit,Plant_MX01_Monterrey,ManufacturingToAssembly,CostPlus
Plant_US01_Detroit,Plant_UK01_Birmingham,ManufacturingToManufacturing,TransactionalNetMargin
Plant_US02_Houston,Plant_DE02_Stuttgart,ManufacturingToManufacturing,CostPlus
Plant_US02_Houston,Plant_CN02_Shenzhen,ManufacturingToManufacturing,ComparableUncontrolledPrice
Plant_US02_Houston,Plant_IN01_Pune,ManufacturingToManufacturing,CostPlus
Plant_US03_Charlotte,Plant_MX01_Monterrey,ManufacturingToAssembly,CostPlus
Plant_US03_Charlotte,Plant_CN02_Shenzhen,ManufacturingToManufacturing,TransactionalNetMargin
Plant_CA01_Toronto,Plant_US01_Detroit,ManufacturingToManufacturing,ComparableUncontrolledPrice
Plant_CA01_Toronto,Plant_DE01_Munich,ManufacturingToManufacturing,CostPlus
Plant_MX01_Monterrey,Plant_US01_Detroit,AssemblyToManufacturing,CostPlus
Plant_MX01_Monterrey,Plant_US03_Charlotte,AssemblyToManufacturing,CostPlus
Plant_DE01_Munich,Plant_US01_Detroit,ManufacturingToManufacturing,CostPlus
Plant_DE01_Munich,Plant_CN01_Shanghai,ManufacturingToManufacturing,TransactionalNetMargin
Plant_DE01_Munich,Plant_JP01_Osaka,ManufacturingToManufacturing,CostPlus
Plant_DE01_Munich,Plant_FR01_Lyon,ManufacturingToManufacturing,ComparableUncontrolledPrice
Plant_DE02_Stuttgart,Plant_US02_Houston,ManufacturingToManufacturing,CostPlus
Plant_DE02_Stuttgart,Plant_CN01_Shanghai,ManufacturingToManufacturing,CostPlus
Plant_DE02_Stuttgart,Plant_IN01_Pune,ManufacturingToManufacturing,TransactionalNetMargin
Plant_UK01_Birmingham,Plant_US01_Detroit,ManufacturingToManufacturing,TransactionalNetMargin
Plant_UK01_Birmingham,Plant_DE01_Munich,ManufacturingToManufacturing,CostPlus
Plant_UK01_Birmingham,Plant_FR01_Lyon,ManufacturingToManufacturing,ComparableUncontrolledPrice
Plant_FR01_Lyon,Plant_DE01_Munich,ManufacturingToManufacturing,ComparableUncontrolledPrice
Plant_FR01_Lyon,Plant_UK01_Birmingham,ManufacturingToManufacturing,ComparableUncontrolledPrice
Plant_CN01_Shanghai,Plant_US01_Detroit,ManufacturingToManufacturing,CostPlus
Plant_CN01_Shanghai,Plant_DE01_Munich,ManufacturingToManufacturing,TransactionalNetMargin
Plant_CN01_Shanghai,Plant_JP01_Osaka,ManufacturingToManufacturing,CostPlus
Plant_CN01_Shanghai,Plant_IN01_Pune,ManufacturingToManufacturing,CostPlus
Plant_CN02_Shenzhen,Plant_US02_Houston,ManufacturingToManufacturing,ComparableUncontrolledPrice
Plant_CN02_Shenzhen,Plant_US03_Charlotte,ManufacturingToManufacturing,TransactionalNetMargin
Plant_CN02_Shenzhen,Plant_JP01_Osaka,ManufacturingToManufacturing,CostPlus
Plant_JP01_Osaka,Plant_DE01_Munich,ManufacturingToManufacturing,CostPlus
Plant_JP01_Osaka,Plant_CN01_Shanghai,ManufacturingToManufacturing,CostPlus
Plant_JP01_Osaka,Plant_US01_Detroit,ManufacturingToManufacturing,TransactionalNetMargin
Plant_IN01_Pune,Plant_US02_Houston,ManufacturingToManufacturing,CostPlus
Plant_IN01_Pune,Plant_DE02_Stuttgart,ManufacturingToManufacturing,TransactionalNetMargin
Plant_IN01_Pune,Plant_CN01_Shanghai,ManufacturingToManufacturing,CostPlus
SS_IT,Plant_US01_Detroit,ServiceProvider,CostPlus
SS_IT,Plant_DE01_Munich,ServiceProvider,CostPlus
SS_IT,Plant_CN01_Shanghai,ServiceProvider,CostPlus
SS_HR,Plant_US01_Detroit,ServiceProvider,CostPlus
SS_HR,Plant_DE01_Munich,ServiceProvider,CostPlus
SS_Finance,Plant_US01_Detroit,ServiceProvider,CostPlus
SS_Finance,Plant_DE01_Munich,ServiceProvider,CostPlus
SS_Finance,Plant_CN01_Shanghai,ServiceProvider,CostPlus
