MemberName,ProductType,StandardCost,BOMLevel,ProductGroup
Total_Products,Rollup,0.00,0,AllGroups
Industrial,Rollup,0.00,0,Industrial
Ind_HeavyMachinery,Rollup,0.00,0,HeavyMachinery
SKU_HM_HydPress_500T,Manufactured,45000.00,4,HeavyMachinery
SKU_HM_HydPress_1000T,Manufactured,82000.00,5,HeavyMachinery
SKU_HM_CraneAssembly_25T,Manufactured,125000.00,6,HeavyMachinery
SKU_HM_CraneAssembly_50T,Manufactured,215000.00,6,HeavyMachinery
SKU_HM_IndustrialPump_L,Manufactured,12500.00,3,HeavyMachinery
SKU_HM_IndustrialPump_XL,Manufactured,18750.00,4,HeavyMachinery
SKU_HM_Compressor_HP,Manufactured,28000.00,4,HeavyMachinery
Ind_Precision,Rollup,0.00,0,PrecisionComponents
SKU_PR_BearingAssembly_A,Manufactured,850.00,2,PrecisionComponents
SKU_PR_BearingAssembly_B,Manufactured,1200.00,2,PrecisionComponents
SKU_PR_GearSet_Standard,Manufactured,2400.00,3,PrecisionComponents
SKU_PR_GearSet_Custom,Manufactured,4800.00,4,PrecisionComponents
SKU_PR_Shaft_Hardened,Manufactured,1600.00,2,PrecisionComponents
SKU_PR_Coupling_Flex,Manufactured,950.00,2,PrecisionComponents
SKU_PR_LinearGuide,Manufactured,3200.00,3,PrecisionComponents
Ind_Automation,Rollup,0.00,0,Automation
SKU_AU_RoboticArm_6Axis,Manufactured,35000.00,5,Automation
SKU_AU_RoboticArm_4Axis,Manufactured,22000.00,4,Automation
SKU_AU_ConveyorSystem,Manufactured,15000.00,3,Automation
SKU_AU_PLCController,Manufactured,4500.00,3,Automation
SKU_AU_VisionSystem,Manufactured,8500.00,3,Automation
SKU_AU_ServoMotor_M,Manufactured,2800.00,2,Automation
SKU_AU_ServoMotor_L,Manufactured,4200.00,2,Automation
Consumer,Rollup,0.00,0,Consumer
Con_PowerTools,Rollup,0.00,0,PowerTools
SKU_PT_DrillPress_Bench,Manufactured,320.00,2,PowerTools
SKU_PT_DrillPress_Floor,Manufactured,680.00,3,PowerTools
SKU_PT_BandSaw_10,Manufactured,450.00,2,PowerTools
SKU_PT_TableSaw_12,Manufactured,580.00,3,PowerTools
SKU_PT_Grinder_Angle,Manufactured,125.00,2,PowerTools
SKU_PT_Welder_MIG,Manufactured,750.00,3,PowerTools
Con_HomeAppliance,Rollup,0.00,0,HomeAppliance
SKU_HA_AirCompressor_S,Manufactured,280.00,2,HomeAppliance
SKU_HA_AirCompressor_M,Manufactured,520.00,3,HomeAppliance
SKU_HA_PressureWasher,Manufactured,380.00,2,HomeAppliance
SKU_HA_Generator_5KW,Manufactured,850.00,3,HomeAppliance
SKU_HA_Generator_10KW,Manufactured,1450.00,4,HomeAppliance
Con_Outdoor,Rollup,0.00,0,OutdoorEquipment
SKU_OD_Chainsaw_16,Manufactured,210.00,2,OutdoorEquipment
SKU_OD_Chainsaw_20,Manufactured,285.00,2,OutdoorEquipment
SKU_OD_Mower_Push,Manufactured,340.00,2,OutdoorEquipment
SKU_OD_Mower_Ride,Manufactured,1800.00,4,OutdoorEquipment
SKU_OD_Trimmer_Gas,Manufactured,145.00,2,OutdoorEquipment
SKU_OD_Blower_Backpack,Manufactured,195.00,2,OutdoorEquipment
Specialty,Rollup,0.00,0,Specialty
Spec_Aerospace,Rollup,0.00,0,Aerospace
SKU_AE_TurbineBlade_Ti,Manufactured,8500.00,3,Aerospace
SKU_AE_LandingGear_Comp,Manufactured,42000.00,5,Aerospace
SKU_AE_ActuatorAssembly,Manufactured,15000.00,4,Aerospace
SKU_AE_FuelPump_HiRel,Manufactured,12000.00,4,Aerospace
SKU_AE_StructuralPanel,Manufactured,6500.00,3,Aerospace
Spec_Medical,Rollup,0.00,0,MedicalDevices
SKU_MD_SurgicalInst_Set,Manufactured,3200.00,3,MedicalDevices
SKU_MD_ImplantTi_Hip,Manufactured,4800.00,3,MedicalDevices
SKU_MD_ImplantTi_Knee,Manufactured,5200.00,3,MedicalDevices
SKU_MD_PrecisionPump_IV,Manufactured,2800.00,3,MedicalDevices
SKU_MD_DiagnosticAssembly,Manufactured,7500.00,4,MedicalDevices
Spec_Defense,Rollup,0.00,0,Defense
SKU_DF_ArmorPlate_L3,Manufactured,3500.00,2,Defense
SKU_DF_OpticsMount_Tac,Manufactured,1800.00,2,Defense
SKU_DF_VehicleComp_Heavy,Manufactured,28000.00,5,Defense
SKU_DF_CommEnclosure,Manufactured,4200.00,3,Defense
SKU_DF_DroneFrame_Med,Manufactured,18000.00,4,Defense
